Treatment,Mutant,,,,,,,
WL,a,3.283,1.832889,1.682286,1.7219,4.11,3.3876,1.566467
WL,b,4.358,4.186667,3.747529,2.515167,4.1418,5.4036,4.628278
WL,c,3.419,2.828571,1.337667,"""1.2815 """,3.1382,2.347,1.276333
WL,d,1.219875,1.853,3.703667,1.4444,1.671833,3.3854,1.159375
WL,e,1.464125,2.103,3.855818,1.418,1.705875,3.329,1.722429
WL,f,1.433222,2.127222,2.31325,1.7142,1.416571,4.1046,1.352438
FR,a,4.557,3.556111,2.137,2.7075,2.868,"""3.2622 """,3.848783
FR,b,5.35,4.555111,2.981,3.8361,4.1224,"""4.313 """,4.512385
FR,c,3.836,3.1802,2.866,3.1249,3.835429,"""1.9058 """,3.0372
FR,d,3.046,1.363667,1.636,1.617,1.823857,"""2.9414 """,1.724
FR,e,2.7152,2.548333,3.209,2.785778,3.9532,"""4.4364 """,2.571765
FR,f,3.942083,3.240667,2.275,2.8469,3.383333,"""4.8928 """,3.434182
WL+auxin,a,1.321,1.336,2.5312,1.4672,2.1978,"""2.5562 """,1.128583
WL+auxin,b,4.0384,1.627,2.9171,3.2185,3.597111,"""3.3336 """,2.506211
WL+auxin,c,1.42,1.291111,2.237,1.5315,1.489556,"""3.1 """,1.4395
WL+auxin,d,1.9432,1.11,1.7825,1.358571,1.617375,"""3.1422 """,1.37725
WL+auxin,e,1.8681,1.586,2.094375,1.8444,3.6534,"""4.6976 """,1.58024
WL+auxin,f,1.523667,1.415222,1.9088,1.991333,2.5141,"""2.6276 """,1.315875
FR+auxin,a,2.543,2.253111,2.501,2.803,2.8853,5.4814,2.056143
FR+auxin,b,3.973,2.500111,3.943,2.7765,3.6232,"""3.9892 """,4.701333
FR+auxin,c,1.695,2.06175,2.611,2.1375,3.1158,"""3.3312 """,2.8622
FR+auxin,d,4.12,1.409833,1.724,1.3698,1.8107,"""1.7406 """,1.161125
FR+auxin,e,2.737,1.976,2.649,2.116833,2.728,"""4.0382 """,2.329545
FR+auxin,f,1.3685,1.628111,2.421,2.1708,2.892,"""3.13 """,2.736688
